"Gene"	"Transcript"	"n_COSMs"	"total_COSMs"
"ANKRD26"	"ENST00000376087.4"	13	13
"ANKRD26"	"ENST00000436985.6"	13	13
"ARID1A"	"ENST00000324856.12"	221	221
"ARID1A"	"ENST00000374152.7"	164	221
"ARID1A"	"ENST00000430799.7"	164	221
"ARID1A"	"ENST00000457599.6"	199	221
"ARID1A"	"ENST00000615191.4"	85	221
"ASXL1"	"ENST00000306058.9"	513	515
"ASXL1"	"ENST00000375687.9"	514	515
"ASXL1"	"ENST00000375689.5"	3	515
"ASXL1"	"ENST00000497249.6"	3	515
"ASXL1"	"ENST00000542461.5"	5	515
"ASXL1"	"ENST00000613218.4"	515	515
"ASXL1"	"ENST00000620121.4"	515	515
"ASXL1"	"ENST00000646367.1"	4	515
"ASXL1"	"ENST00000646985.1"	513	515
"ATM"	"ENST00000278616.8"	513	514
"ATM"	"ENST00000452508.6"	513	514
"ATM"	"ENST00000526567.5"	13	514
"ATM"	"ENST00000530958.5"	24	514
"ATM"	"ENST00000639240.1"	13	514
"ATM"	"ENST00000639953.1"	13	514
"ATM"	"ENST00000640388.1"	13	514
"BCL2"	"ENST00000333681.4"	382	414
"BCL2"	"ENST00000398117.1"	382	414
"BCL2"	"ENST00000589955.2"	412	414
"BCOR"	"ENST00000342274.8"	276	277
"BCOR"	"ENST00000378444.8"	277	277
"BCOR"	"ENST00000378455.8"	273	277
"BCOR"	"ENST00000378463.5"	114	277
"BCOR"	"ENST00000397354.7"	276	277
"BCOR"	"ENST00000615339.1"	59	277
"BCORL1"	"ENST00000218147.11"	113	113
"BCORL1"	"ENST00000540052.5"	113	113
"BIRC3"	"ENST00000263464.7"	105	105
"BIRC3"	"ENST00000532808.5"	105	105
"BIRC3"	"ENST00000615299.4"	105	105
"BRAF"	"ENST00000288602.11"	64	64
"BRAF"	"ENST00000469930.2"	6	64
"BRAF"	"ENST00000496384.7"	63	64
"BRAF"	"ENST00000644969.1"	63	64
"BRAF"	"ENST00000646891.1"	64	64
"BTK"	"ENST00000308731.7"	33	33
"BTK"	"ENST00000372880.5"	20	33
"BTK"	"ENST00000618050.4"	29	33
"BTK"	"ENST00000621635.4"	33	33
"CALR"	"ENST00000316448.9"	192	192
"CARD11"	"ENST00000396946.8"	203	203
"CBL"	"ENST00000264033.5"	172	172
"CBL"	"ENST00000634586.1"	168	172
"CBL"	"ENST00000634840.1"	167	172
"CEBPA"	"ENST00000498907.2"	675	675
"CREBBP"	"ENST00000262367.9"	410	410
"CREBBP"	"ENST00000382070.7"	404	410
"CSF3R"	"ENST00000331941.6"	32	50
"CSF3R"	"ENST00000361632.8"	47	50
"CSF3R"	"ENST00000373103.5"	50	50
"CSF3R"	"ENST00000373104.5"	32	50
"CSF3R"	"ENST00000373106.5"	47	50
"CUX1"	"ENST00000292535.11"	71	80
"CUX1"	"ENST00000292538.9"	27	80
"CUX1"	"ENST00000360264.7"	72	80
"CUX1"	"ENST00000393824.7"	26	80
"CUX1"	"ENST00000425244.6"	24	80
"CUX1"	"ENST00000437600.9"	27	80
"CUX1"	"ENST00000546411.7"	71	80
"CUX1"	"ENST00000547394.6"	26	80
"CUX1"	"ENST00000549414.6"	69	80
"CUX1"	"ENST00000550008.6"	68	80
"CUX1"	"ENST00000556210.1"	63	80
"CUX1"	"ENST00000622516.5"	27	80
"CUX1"	"ENST00000645010.1"	69	80
"CUX1"	"ENST00000646649.1"	64	80
"CXCR4"	"ENST00000241393.3"	87	89
"CXCR4"	"ENST00000409817.1"	85	89
"DDX41"	"ENST00000507955.5"	13	13
"DDX41"	"ENST00000625286.1"	2	13
"DDX41"	"ENST00000629036.2"	8	13
"DIS3"	"ENST00000377767.8"	46	46
"DIS3"	"ENST00000377780.8"	40	46
"DIS3"	"ENST00000545453.5"	38	46
"DNMT3A"	"ENST00000264709.7"	677	677
"DNMT3A"	"ENST00000321117.9"	677	677
"DNMT3A"	"ENST00000380746.8"	661	677
"DNMT3A"	"ENST00000402667.1"	661	677
"DNMT3A"	"ENST00000406659.3"	12	677
"EP300"	"ENST00000263253.8"	239	239
"ETNK1"	"ENST00000266517.8"	10	10
"ETNK1"	"ENST00000335148.7"	1	10
"ETV6"	"ENST00000396373.8"	131	131
"EZH2"	"ENST00000320356.6"	356	356
"EZH2"	"ENST00000350995.6"	347	356
"EZH2"	"ENST00000460911.5"	355	356
"EZH2"	"ENST00000476773.5"	344	356
"EZH2"	"ENST00000478654.5"	344	356
"EZH2"	"ENST00000483967.5"	355	356
"FBXW7"	"ENST00000263981.9"	114	123
"FBXW7"	"ENST00000281708.9"	122	123
"FBXW7"	"ENST00000296555.10"	114	123
"FBXW7"	"ENST00000393956.8"	114	123
"FBXW7"	"ENST00000603548.6"	122	123
"FBXW7"	"ENST00000603841.1"	122	123
"FBXW7"	"ENST00000604872.6"	9	123
"FLT3"	"ENST00000241453.11"	517	517
"GATA1"	"ENST00000376665.4"	183	187
"GATA1"	"ENST00000376670.7"	187	187
"GATA2"	"ENST00000341105.6"	104	104
"GATA2"	"ENST00000430265.6"	100	104
"GATA2"	"ENST00000487848.5"	104	104
"GNAS"	"ENST00000265620.11"	17	61
"GNAS"	"ENST00000306090.11"	5	61
"GNAS"	"ENST00000306120.3"	31	61
"GNAS"	"ENST00000313949.11"	10	61
"GNAS"	"ENST00000354359.11"	18	61
"GNAS"	"ENST00000371075.7"	10	61
