"V1"	"V2"	"V3"
"IRF4"	"ENST00000380956.8"	"74"
"CARD11"	"ENST00000396946.8"	"203"
"UBA1"	"ENST00000377269.3"	"5"
"UBA1"	"ENST00000335972.10"	"11"
"UBA1"	"ENST00000377351.8"	"11"
"ANKRD26"	"ENST00000376087.4"	"13"
"ANKRD26"	"ENST00000436985.6"	"13"
"BCL2"	"ENST00000398117.1"	"382"
"BCL2"	"ENST00000589955.2"	"412"
"BCL2"	"ENST00000333681.4"	"382"
"ARID1A"	"ENST00000615191.4"	"85"
"ARID1A"	"ENST00000457599.6"	"199"
"ARID1A"	"ENST00000430799.7"	"164"
"ARID1A"	"ENST00000324856.12"	"221"
"ARID1A"	"ENST00000374152.7"	"164"
"MEF2B"	"ENST00000410050.5"	"77"
"MEF2B"	"ENST00000424583.6"	"77"
"MEF2B"	"ENST00000409447.2"	"66"
"MEF2B"	"ENST00000409224.5"	"71"
"BTK"	"ENST00000621635.4"	"33"
"BTK"	"ENST00000618050.4"	"29"
"BTK"	"ENST00000372880.5"	"20"
"BTK"	"ENST00000308731.7"	"33"
"DIS3"	"ENST00000545453.5"	"38"
"DIS3"	"ENST00000377767.8"	"46"
"DIS3"	"ENST00000377780.8"	"40"
"CXCR4"	"ENST00000409817.1"	"85"
"CXCR4"	"ENST00000241393.3"	"87"
"RHOA"	"ENST00000418115.5"	"59"
"RHOA"	"ENST00000422781.5"	"55"
"RHOA"	"ENST00000454011.6"	"39"
"BRAF"	"ENST00000288602.11"	"64"
"BRAF"	"ENST00000644969.1"	"63"
"BRAF"	"ENST00000646891.1"	"64"
"BRAF"	"ENST00000496384.7"	"63"
"BRAF"	"ENST00000469930.2"	"6"
"HRAS"	"ENST00000397596.6"	"14"
"HRAS"	"ENST00000451590.5"	"14"
"HRAS"	"ENST00000397594.5"	"12"
"HRAS"	"ENST00000311189.7"	"14"
"HRAS"	"ENST00000417302.5"	"12"
"BCORL1"	"ENST00000540052.5"	"113"
"BCORL1"	"ENST00000218147.11"	"113"
"CUX1"	"ENST00000292535.11"	"71"
"CUX1"	"ENST00000550008.6"	"68"
"CUX1"	"ENST00000549414.6"	"69"
"CUX1"	"ENST00000360264.7"	"72"
"CUX1"	"ENST00000547394.6"	"26"
"CUX1"	"ENST00000645010.1"	"69"
"CUX1"	"ENST00000393824.7"	"26"
"CUX1"	"ENST00000546411.7"	"71"
"CUX1"	"ENST00000622516.5"	"27"
"CUX1"	"ENST00000556210.1"	"63"
"CUX1"	"ENST00000646649.1"	"64"
"CUX1"	"ENST00000425244.6"	"24"
"CUX1"	"ENST00000292538.9"	"27"
"CUX1"	"ENST00000437600.9"	"27"
"FBXW7"	"ENST00000603548.6"	"122"
"FBXW7"	"ENST00000263981.9"	"114"
"FBXW7"	"ENST00000296555.10"	"114"
"FBXW7"	"ENST00000603841.1"	"122"
"FBXW7"	"ENST00000604872.6"	"9"
"FBXW7"	"ENST00000281708.9"	"122"
"FBXW7"	"ENST00000393956.8"	"114"
"GNAS"	"ENST00000371098.6"	"10"
"GNAS"	"ENST00000371095.7"	"17"
"GNAS"	"ENST00000354359.11"	"18"
"GNAS"	"ENST00000371085.7"	"18"
"GNAS"	"ENST00000306090.11"	"5"
"GNAS"	"ENST00000371081.5"	"1"
"GNAS"	"ENST00000371102.8"	"50"
"GNAS"	"ENST00000371099.6"	"33"
"GNAS"	"ENST00000371075.7"	"10"
"GNAS"	"ENST00000306120.3"	"31"
"GNAS"	"ENST00000371100.8"	"51"
"GNAS"	"ENST00000265620.11"	"17"
"GNAS"	"ENST00000313949.11"	"10"
"KRAS"	"ENST00000556131.1"	"49"
